Params [lbd-U: 0.1000|lbd-V: 0.1000|lbd-N: 0.1000|lbd-Q: 0.1000|lbd-scale: 1.0000]
Staring Sample 1 - Loc: save/pretrain/data/lastfm/vmodel/shallow 
Train DAE - Item side ...
datalink: data/lastfm/data_item/
doing pretrain from scratch
Training DAE (1)
Epoch 156/500 - recon_error: 5.999119 norms: 0.000104/0.000181/0.091986
Epoch 157/500 - recon_error: 5.993570 norms: 0.000104/0.000182/0.092726
Epoch 158/500 - recon_error: 5.988050 norms: 0.000103/0.000183/0.093466
Epoch 159/500 - recon_error: 5.982559 norms: 0.000103/0.000184/0.094207
Epoch 160/500 - recon_error: 5.977096 norms: 0.000103/0.000185/0.094949
Epoch 161/500 - recon_error: 5.971660 norms: 0.000102/0.000186/0.095691
Epoch 162/500 - recon_error: 5.966252 norms: 0.000102/0.000188/0.096434
Epoch 163/500 - recon_error: 5.960871 norms: 0.000102/0.000189/0.097177
Epoch 164/500 - recon_error: 5.955515 norms: 0.000101/0.000190/0.097920
Epoch 165/500 - recon_error: 5.950186 norms: 0.000101/0.000191/0.098665
Epoch 166/500 - recon_error: 5.944882 norms: 0.000101/0.000192/0.099410
Epoch 167/500 - recon_error: 5.939603 norms: 0.000100/0.000194/0.100155
Epoch 168/500 - recon_error: 5.934349 norms: 0.000100/0.000195/0.100901
Epoch 169/500 - recon_error: 5.929119 norms: 0.000100/0.000196/0.101647
Epoch 170/500 - recon_error: 5.923913 norms: 0.000099/0.000197/0.102394
Epoch 171/500 - recon_error: 5.918730 norms: 0.000099/0.000198/0.103141
Epoch 172/500 - recon_error: 5.913570 norms: 0.000099/0.000199/0.103889
Epoch 173/500 - recon_error: 5.908433 norms: 0.000098/0.000201/0.104637
Epoch 174/500 - recon_error: 5.903318 norms: 0.000098/0.000202/0.105386
Epoch 175/500 - recon_error: 5.898225 norms: 0.000098/0.000203/0.106135
Epoch 176/500 - recon_error: 5.893154 norms: 0.000097/0.000204/0.106885
Epoch 177/500 - recon_error: 5.888105 norms: 0.000097/0.000205/0.107635
Epoch 178/500 - recon_error: 5.883076 norms: 0.000097/0.000207/0.108385
Epoch 179/500 - recon_error: 5.878068 norms: 0.000096/0.000208/0.109136
Epoch 180/500 - recon_error: 5.873081 norms: 0.000096/0.000209/0.109887
Epoch 181/500 - recon_error: 5.868113 norms: 0.000096/0.000210/0.110639
Epoch 182/500 - recon_error: 5.863166 norms: 0.000095/0.000211/0.111391
Epoch 183/500 - recon_error: 5.858238 norms: 0.000095/0.000212/0.112144
Epoch 184/500 - recon_error: 5.853329 norms: 0.000095/0.000214/0.112897
Epoch 185/500 - recon_error: 5.848440 norms: 0.000095/0.000215/0.113650
Epoch 186/500 - recon_error: 5.843569 norms: 0.000094/0.000216/0.114404
Epoch 187/500 - recon_error: 5.838716 norms: 0.000094/0.000217/0.115158
Epoch 188/500 - recon_error: 5.833882 norms: 0.000094/0.000218/0.115913
Epoch 189/500 - recon_error: 5.829066 norms: 0.000093/0.000220/0.116668
Epoch 190/500 - recon_error: 5.824267 norms: 0.000093/0.000221/0.117423
Epoch 191/500 - recon_error: 5.819486 norms: 0.000093/0.000222/0.118179
Epoch 192/500 - recon_error: 5.814722 norms: 0.000093/0.000223/0.118935
Epoch 193/500 - recon_error: 5.809975 norms: 0.000092/0.000224/0.119691
Epoch 194/500 - recon_error: 5.805244 norms: 0.000092/0.000226/0.120448
Epoch 195/500 - recon_error: 5.800531 norms: 0.000092/0.000227/0.121205
Epoch 196/500 - recon_error: 5.795833 norms: 0.000091/0.000228/0.121962
Epoch 197/500 - recon_error: 5.791151 norms: 0.000091/0.000229/0.122720
Epoch 198/500 - recon_error: 5.786486 norms: 0.000091/0.000230/0.123478
Epoch 199/500 - recon_error: 5.781835 norms: 0.000091/0.000232/0.124236
Epoch 200/500 - recon_error: 5.777201 norms: 0.000090/0.000233/0.124995
Epoch 201/500 - recon_error: 5.772581 norms: 0.000090/0.000234/0.125754
Epoch 202/500 - recon_error: 5.767976 norms: 0.000090/0.000235/0.126513
Epoch 203/500 - recon_error: 5.763387 norms: 0.000090/0.000236/0.127273
Epoch 204/500 - recon_error: 5.758811 norms: 0.000089/0.000238/0.128033
Epoch 205/500 - recon_error: 5.754250 norms: 0.000089/0.000239/0.128793
Epoch 206/500 - recon_error: 5.749703 norms: 0.000089/0.000240/0.129553
Epoch 207/500 - recon_error: 5.745171 norms: 0.000089/0.000241/0.130314
Epoch 208/500 - recon_error: 5.740652 norms: 0.000088/0.000242/0.131075
Epoch 209/500 - recon_error: 5.736146 norms: 0.000088/0.000244/0.131837
Epoch 210/500 - recon_error: 5.731654 norms: 0.000088/0.000245/0.132598
Epoch 211/500 - recon_error: 5.727175 norms: 0.000088/0.000246/0.133360
Epoch 212/500 - recon_error: 5.722710 norms: 0.000087/0.000247/0.134122
Epoch 213/500 - recon_error: 5.718257 norms: 0.000087/0.000248/0.134885
Epoch 214/500 - recon_error: 5.713817 norms: 0.000087/0.000250/0.135647
Epoch 215/500 - recon_error: 5.709390 norms: 0.000087/0.000251/0.136410
Epoch 216/500 - recon_error: 5.704974 norms: 0.000086/0.000252/0.137173
Epoch 217/500 - recon_error: 5.700572 norms: 0.000086/0.000253/0.137937
Epoch 218/500 - recon_error: 5.696181 norms: 0.000086/0.000254/0.138701
Epoch 219/500 - recon_error: 5.691802 norms: 0.000086/0.000256/0.139464
Epoch 220/500 - recon_error: 5.687435 norms: 0.000085/0.000257/0.140229
Epoch 221/500 - recon_error: 5.683080 norms: 0.000085/0.000258/0.140993
Epoch 222/500 - recon_error: 5.678736 norms: 0.000085/0.000259/0.141758
Epoch 223/500 - recon_error: 5.674404 norms: 0.000085/0.000261/0.142522
Epoch 224/500 - recon_error: 5.670083 norms: 0.000084/0.000262/0.143287
Epoch 225/500 - recon_error: 5.665772 norms: 0.000084/0.000263/0.144053
Epoch 226/500 - recon_error: 5.661473 norms: 0.000084/0.000264/0.144818
Epoch 227/500 - recon_error: 5.657185 norms: 0.000084/0.000265/0.145584
Epoch 228/500 - recon_error: 5.652907 norms: 0.000084/0.000267/0.146350
Epoch 229/500 - recon_error: 5.648640 norms: 0.000083/0.000268/0.147116
Epoch 230/500 - recon_error: 5.644384 norms: 0.000083/0.000269/0.147882
Epoch 231/500 - recon_error: 5.640137 norms: 0.000083/0.000270/0.148649
Epoch 232/500 - recon_error: 5.635901 norms: 0.000083/0.000271/0.149416
Epoch 233/500 - recon_error: 5.631675 norms: 0.000082/0.000273/0.150182
Epoch 234/500 - recon_error: 5.627459 norms: 0.000082/0.000274/0.150950
Epoch 235/500 - recon_error: 5.623253 norms: 0.000082/0.000275/0.151717
Epoch 236/500 - recon_error: 5.619057 norms: 0.000082/0.000276/0.152484
