nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp2/2550]
Init social model
Using adagrad ...
Params [lbd-U: 0.0100|lbd-V: 0.0100|lbd-N: 0.0100|lbd-Q: 0.0500]
Staring Sample 2 - Loc: save/ctr/delicious-alg80-sp2-cold20170225193319019 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0093 015085 -960.44500:[27170.64398:-72.85096:-13.09971] 0.0005872276
0094 015170 -959.89470:[27170.46139:-72.21200:-13.20865] 0.0005729635
0095 015256 -959.35800:[27170.27866:-71.58658:-13.31713] 0.0005591305
0096 015341 -958.83446:[27170.09584:-70.97431:-13.42514] 0.0005457118
0097 015426 -958.32370:[27169.91295:-70.37479:-13.53267] 0.0005326919
0098 015512 -957.82532:[27169.73002:-69.78767:-13.63974] 0.0005200557
0099 015597 -957.33895:[27169.54710:-69.21257:-13.74633] 0.0005077892
0100 015683 -956.86422:[27169.36421:-68.64917:-13.85246] 0.0004958789
0101 015785 -956.40080:[27169.18139:-68.09712:-13.95810] 0.0004843117
0102 015870 -955.94835:[27168.99866:-67.55611:-14.06327] 0.0004730752
0103 015955 -955.50655:[27168.81605:-67.02584:-14.16797] 0.0004621575
0104 016040 -955.07510:[27168.63358:-66.50600:-14.27219] 0.0004515472
0105 016126 -954.65368:[27168.45129:-65.99632:-14.37593] 0.0004412334
0106 016211 -954.24203:[27168.26919:-65.49652:-14.47920] 0.0004312058
0107 016297 -953.83986:[27168.08730:-65.00633:-14.58198] 0.0004214545
0108 016381 -953.44691:[27167.90566:-64.52550:-14.68429] 0.0004119701
0109 016467 -953.06292:[27167.72428:-64.05379:-14.78613] 0.0004027432
0110 016552 -952.68763:[27167.54319:-63.59095:-14.88748] 0.0003937649
0111 016638 -952.32082:[27167.36239:-63.13675:-14.98836] 0.0003850267
0112 016720 -951.96225:[27167.18191:-62.69098:-15.08876] 0.0003765207
0113 016803 -951.61170:[27167.00176:-62.25342:-15.18868] 0.0003682392
0114 016886 -951.26896:[27166.82197:-61.82385:-15.28813] 0.0003601751
0115 016968 -950.93380:[27166.64255:-61.40209:-15.38711] 0.0003523214
0116 017051 -950.60605:[27166.46352:-60.98792:-15.48561] 0.0003446713
0117 017134 -950.28548:[27166.28488:-60.58118:-15.58364] 0.0003372180
0118 017216 -949.97193:[27166.10665:-60.18167:-15.68120] 0.0003299554
0119 017299 -949.66521:[27165.92886:-59.78922:-15.77828] 0.0003228774
0120 017382 -949.36513:[27165.75150:-59.40366:-15.87489] 0.0003159782
0121 017466 -949.07154:[27165.57460:-59.02482:-15.97104] 0.0003092520
0122 017551 -948.78426:[27165.39816:-58.65255:-16.06672] 0.0003026932
0123 017637 -948.50314:[27165.22219:-58.28668:-16.16193] 0.0002962966
0124 017722 -948.22802:[27165.04671:-57.92707:-16.25668] 0.0002900570
0125 017807 -947.95875:[27164.87172:-57.57357:-16.35097] 0.0002839699
0126 017893 -947.69519:[27164.69725:-57.22604:-16.44479] 0.0002780310
0127 017980 -947.43719:[27164.52328:-56.88434:-16.53816] 0.0002722363
0128 018065 -947.18462:[27164.34984:-56.54834:-16.63107] 0.0002665820
0129 018150 -946.93735:[27164.17694:-56.21791:-16.72353] 0.0002610638
0130 018235 -946.69524:[27164.00458:-55.89292:-16.81553] 0.0002556776
0131 018320 -946.45817:[27163.83278:-55.57326:-16.90707] 0.0002504192
0132 018406 -946.22602:[27163.66153:-55.25880:-16.99817] 0.0002452848
0133 018493 -945.99867:[27163.49085:-54.94943:-17.08881] 0.0002402707
0134 018579 -945.77600:[27163.32075:-54.64504:-17.17900] 0.0002353735
0135 018665 -945.55792:[27163.15123:-54.34551:-17.26875] 0.0002305899
0136 018750 -945.34430:[27162.98230:-54.05075:-17.35806] 0.0002259170
0137 018832 -945.13504:[27162.81397:-53.76065:-17.44692] 0.0002213519
0138 018915 -944.93005:[27162.64624:-53.47511:-17.53534] 0.0002168914
0139 018999 -944.72923:[27162.47913:-53.19403:-17.62332] 0.0002125324
0140 019081 -944.53246:[27162.31263:-52.91732:-17.71086] 0.0002082720
0141 019161 -944.33968:[27162.14675:-52.64489:-17.79797] 0.0002041073
0142 019242 -944.15078:[27161.98150:-52.37665:-17.88464] 0.0002000358
0143 019323 -943.96567:[27161.81689:-52.11251:-17.97089] 0.0001960548
0144 019404 -943.78428:[27161.65292:-51.85239:-18.05670] 0.0001921622
0145 019485 -943.60651:[27161.48959:-51.59620:-18.14209] 0.0001883557
0146 019565 -943.43229:[27161.32691:-51.34386:-18.22705] 0.0001846334
0147 019646 -943.26153:[27161.16489:-51.09530:-18.31158] 0.0001809930
0148 019727 -943.09417:[27161.00353:-50.85045:-18.39569] 0.0001774325
0149 019808 -942.93012:[27160.84284:-50.60922:-18.47938] 0.0001739499
0150 019889 -942.76931:[27160.68282:-50.37154:-18.56265] 0.0001705431
0151 019970 -942.61167:[27160.52348:-50.13735:-18.64549] 0.0001672103
0152 020051 -942.45713:[27160.36482:-49.90658:-18.72792] 0.0001639495
0153 020129 -942.30562:[27160.20685:-49.67916:-18.80993] 0.0001607588
0154 020204 -942.15708:[27160.04958:-49.45502:-18.89152] 0.0001576361
0155 020281 -942.01144:[27159.89299:-49.23411:-18.97270] 0.0001545796
0156 020357 -941.86864:[27159.73711:-49.01636:-19.05347] 0.0001515874
0157 020434 -941.72862:[27159.58194:-48.80170:-19.13382] 0.0001486584
0158 020510 -941.59133:[27159.42747:-48.59010:-19.21376] 0.0001457914
0159 020586 -941.45669:[27159.27371:-48.38147:-19.29328] 0.0001429851
0160 020662 -941.32467:[27159.12068:-48.17578:-19.37240] 0.0001402384
0161 020738 -941.19519:[27158.96836:-47.97297:-19.45111] 0.0001375499
0162 020816 -941.06820:[27158.81677:-47.77297:-19.52940] 0.0001349180
0163 020891 -940.94366:[27158.66591:-47.57575:-19.60728] 0.0001323411
0164 020968 -940.82151:[27158.51579:-47.38126:-19.68475] 0.0001298178
0165 021044 -940.70170:[27158.36640:-47.18943:-19.76182] 0.0001273467
0166 021120 -940.58418:[27158.21775:-47.00023:-19.83847] 0.0001249265
0167 021197 -940.46891:[27158.06984:-46.81361:-19.91471] 0.0001225559
0168 021274 -940.35583:[27157.92268:-46.62952:-19.99055] 0.0001202342
0169 021350 -940.24490:[27157.77627:-46.44792:-20.06598] 0.0001179605
0170 021428 -940.13609:[27157.63061:-46.26877:-20.14100] 0.0001157337
0171 021504 -940.02933:[27157.48570:-46.09201:-20.21561] 0.0001135526
0172 021582 -939.92460:[27157.34155:-45.91762:-20.28981] 0.0001114161
0173 021660 -939.82184:[27157.19816:-45.74555:-20.36360] 0.0001093230
0174 021735 -939.72103:[27157.05553:-45.57577:-20.43698] 0.0001072723
0175 021811 -939.62211:[27156.91366:-45.40822:-20.50996] 0.0001052631
0176 021886 -939.52505:[27156.77255:-45.24288:-20.58253] 0.0001032945
0177 021962 -939.42981:[27156.63221:-45.07971:-20.65469] 0.0001013657
0178 022038 -939.33636:[27156.49264:-44.91867:-20.72645] 0.0000994758
0179 022114 -939.24466:[27156.35384:-44.75972:-20.79779] 0.0000976238
0180 022190 -939.15467:[27156.21580:-44.60284:-20.86873] 0.0000958087
0181 022266 -939.06637:[27156.07853:-44.44799:-20.93927] 0.0000940298
0182 022343 -938.97970:[27155.94204:-44.29513:-21.00939] 0.0000922863
0183 022417 -938.89465:[27155.80631:-44.14424:-21.07912] 0.0000905774
0184 022491 -938.81118:[27155.67136:-43.99528:-21.14843] 0.0000889025
0185 022565 -938.72926:[27155.53718:-43.84822:-21.21734] 0.0000872608
0186 022640 -938.64886:[27155.40377:-43.70303:-21.28585] 0.0000856514
0187 022714 -938.56994:[27155.27113:-43.55968:-21.35395] 0.0000840736
0188 022788 -938.49248:[27155.13926:-43.41814:-21.42165] 0.0000825268
0189 022862 -938.41646:[27155.00817:-43.27839:-21.48894] 0.0000810102
0190 022937 -938.34183:[27154.87784:-43.14039:-21.55583] 0.0000795233
0191 023013 -938.26858:[27154.74829:-43.00412:-21.62232] 0.0000780653
0192 023091 -938.19667:[27154.61950:-42.86955:-21.68841] 0.0000766356
0193 023167 -938.12609:[27154.49149:-42.73666:-21.75410] 0.0000752335
0194 023241 -938.05680:[27154.36424:-42.60541:-21.81939] 0.0000738589
0195 023316 -937.98878:[27154.23776:-42.47579:-21.88428] 0.0000725114
0196 023391 -937.92201:[27154.11204:-42.34777:-21.94877] 0.0000711904
0197 023466 -937.85645:[27153.98709:-42.22132:-22.01287] 0.0000698955
0198 023540 -937.79209:[27153.86291:-42.09643:-22.07656] 0.0000686258
