nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp1/2550]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: 0.1000|lbd-Q: 0.1000]
Staring Sample 1 - Loc: save/ctr/delicious-alg80-sp1-cold20170221214430184 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0119 009811 -11062.61017:[7647.51184:-2078.50085:-1847.89243] 0.0000106292
0120 009889 -11062.49380:[7647.77040:-2078.56610:-1847.90490] 0.0000105191
0121 009968 -11062.37880:[7648.02456:-2078.62988:-1847.91646] 0.0000103951
0122 010046 -11062.26504:[7648.27418:-2078.69203:-1847.92698] 0.0000102837
0123 010125 -11062.15239:[7648.51935:-2078.75252:-1847.93641] 0.0000101834
0124 010203 -11062.04095:[7648.76007:-2078.81144:-1847.94485] 0.0000100737
0125 010282 -11061.93088:[7648.99630:-2078.86888:-1847.95243] 0.0000099504
Start evaluating ...
  Columns 1 through 7

    0.0600    0.0764    0.0824    0.0864    0.0895    0.0921    0.0954

  Columns 8 through 10

    0.0981    0.1001    0.1018

    0.0106

Elapsed time is 10342.131934 seconds.
